,Name,price,category,source
0,Corsair H100 RGB 240mm CPU Cooler,8524.0,cpu cooler,amazon
1,"Verilux® 2300 rpm RGB CPU Air Cooler with PWM 4 Pin,4 Copper Heat Conduction Pipes,92mm Cooler Fan for AMD Ryzen & Intel LGA 1700 115X",1899.0,cpu cooler,amazon
2,Deepcool GAMMAXX AG300 CPU Air Cooler I Intel - LGA1700/1200/1151/1150/1155 I AMD : AM5/AM4,1295.0,cpu cooler,amazon
3,"Ant Esports ICE-C200 CPU Cooler/CPU Fan with Rainbow LED Fan | Support - Intel LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700 & AMD FM1, FM2, AM2, AM3, AM4",750.0,cpu cooler,amazon
4,DEEPCOOL GAMMAXX 400 V2 Blue LED air CPU Cooler for Intel LGA1700/1200/1151/1150/1155 and AMD AM4 - DP-MCH4-GMX400V2-BL,1819.0,cpu cooler,amazon
5,"Ant Esports ICE-C612 with RGB CPU Cooler/Fan Support Intel LGA775, LGA1200, LGA1150, LGA1151, LGA1155, LGA1156, LGA2066, LGA2011-v3, LGA2011, LGA1366 and AMD FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4",1583.0,cpu cooler,amazon
6,"Silverstone KR03 Krypton CPU Cooler, 92mm Blue LED Fan, 2000 RPM, Hydraulic Bearing, Copper Heat Pipes with Aluminum fins, Universal Socket Compatibility Intel&AMD (SST-KR03)",999.0,cpu cooler,amazon
7,"Cooler Master Hyper H410R RGB CPU Cooler - 92mm Fan | Support AMD & Intel CPU Socket AM4, AM3, LGA 1700, 2011, 1151, 1150 | PWM Case Fans | Direct Contact Technology | 4 Heat Pipes",2198.0,cpu cooler,amazon
8,Deepcool AG620 Dual-Tower 120mm CPU Air Cooler/CPU Fan | Support Intel- LGA2066/2011-v3/2011/1700/1200/1151/1150/1155 & AMD- AM5/AM4 - R-AG620-BKNNMN-G-1,4759.0,cpu cooler,amazon
9,Deepcool GAMMAXX 200 V2 CPU Air Cooler - Intel LGA1200/1151/1150/1155/LGA775 I AMD FM2/FM1/AM3+/AM3/AM2+/AM2/940/939/754 (DP-MCH2-GMX200-V2),981.0,cpu cooler,amazon
10,"MSI MAG CORELIQUID 240R v2 White (AIO CPU Liquid Cooler, 240 Radiator, Radiator Pump Design, 2 x 120mm ARGB Fans, Intel 1151/1200/2066, AMD AM4/AM2/AM3/FM2)",7741.0,cpu cooler,amazon
11,MSI MPG CORELIQUID K360 V2 AIO CPU Liquid Cooler - LCD Pump with 60mm Fan - AMD & Intel Socket Compatible,16999.0,cpu cooler,amazon
12,Deepcool LE500 240mm LED Liquid CPU Cooler/AIO | Support Intel LGA1700/1200/1151/1150/1155 & AMD AM5/AM4 - R-LE500-BKLNMC-G-1,5977.0,cpu cooler,amazon
13,"Cooler Master MasterLiquid ML240L ARGB V2 CPU Liquid Cooler - Black | Support Intel & AMD CPU Socket AM5, AM4, AM3, LGA1700, 1200, 2066, 1151 | 3rd Gen Dual Chamber Pump | 240mm Close-Loop AIO",5149.0,cpu cooler,amazon
14,"Cooler Master MasterLiquid ML240L RGB V2 CPU Liquid Cooler - Black | Support Intel & AMD CPU Socket AM5, AM4, AM3, LGA1700, 1200, 2066, 1151 | 3rd Gen Dual Chamber Pump | 240mm Close-Loop AIO",6549.0,cpu cooler,amazon
15,Cooler Master Hyper T20 CPU Cooler With High Performance And Low dBA,1099.0,cpu cooler,amazon
16,DEEPCOOL Gamma Archer 120mm CPU Air Cooler designed for Intel LGA775/1151/1150/1155/1156 and AMD AM4/FM2/FM1/AM3+/AM3/AM2+/AM2,597.0,cpu cooler,amazon
17,DEEPCOOL UD551 (AMD Version)- 1800RPM- 4-pin PWM ARGB CPU Cooler Support AM4 - R-UD551-BKAMAB-G-1,1346.0,cpu cooler,amazon
18,"Cooler Master Hyper Spectrum V3 CPU Cooler - 120mm Fan | Support AMD & Intel CPU Socket AM5, AM4 / LGA 1700, 1200, 1151, 1150| PWM Case Fans | 71.93 CFM Airflow | 4 Heat Pipes",2198.0,cpu cooler,amazon
19,Deepcool AG400 WH ARGB Efficient 4 Heat Pipes CPU Cooler/CPU Fan | Support Intel LGA1700/1200/1151/1150/1155 and AMD AM5/AM4 - R-AG400-WHANMC-G-2 (White),3092.0,cpu cooler,amazon
20,"RiaTech 3 Pack RGB LED Series 120mm Case Fan for Computer Case, Unique Ultra Quiet Long Life Gaming PC Cooling Fan - RGB 4Pin Molex connector",799.0,cpu cooler,amazon
21,"MSI MAG CORELIQUID 240R (AIO Liquid Cooler, 240 Radiator, 2x 120mm ARGB Fans, Intel 1151/1200/2066, AMD AM4/AM3/AM2/FM2)",7999.0,cpu cooler,amazon
22,"Logitech G435 Lightspeed and Bluetooth Wireless Over Ear Gaming Headphones - Lightweight with Dual mics, 18h Battery, Compatible with Dolby Atmos, PC, PS4, PS5, Mobile - White",5995.0,gaming headset,amazon
23,"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, LIGHTSYNC RGB, Blue VO!CE mic Technology and PRO-G Audio Drivers - Black",13995.0,gaming headset,amazon
24,"Redgear Cosmo 7,1 Usb Gaming Wired Over Ear Headphones With Mic With Virtual Surround Sound,50Mm Driver, Rgb Leds & Remote Control(Black)",1699.0,gaming headset,amazon
25,Redgear Cloak Wired RGB Wired Over Ear Gaming Headphones with Mic for PC,749.0,gaming headset,amazon
26,"Cosmic Byte H11 Gaming Wired Over-ear Headset with Microphone (Black/Orange, Pack Of 1)",749.0,gaming headset,amazon
27,"Zebronics Jet PRO Premium Wired Gaming On Ear Headphone with LED for Headband + earcups, 40mm Neodymium Drivers, 2 Meter Braided Cable, with mic, Suspension Design, 3.5mm + USB Connector (Black, Blue)",949.0,gaming headset,amazon
28,"Ant Esports H1150 White Crystal Gaming Headset with Full Panel RGB on Ear Cover- with Surround Sound Stereo for PS4/PS5/Switch, Omnidirectional Microphone Vibration LED Light",1599.0,gaming headset,amazon
29,"Cosmic Byte GS430 Gaming wired over ear Headphone, 7 Color RGB LED and Microphone",799.0,gaming headset,amazon
30,Ant Esports H707 HD RGB Wired Gaming Headset | Noise Cancelling Over-Ear Headphones with Mic for PC / PS4 / Xbox One/Nintendo Switch/Mac,999.0,gaming headset,amazon
31,"Razer Kraken X Ultralight Gaming Headset: 7.1 Surround Sound - Lightweight Aluminum Frame - Bendable Cardioid Microphone - for PC, PS4, PS5, Switch, Xbox One, Xbox Series X|S, Mobile - Black/Blue",2999.0,gaming headset,amazon
32,"ZEBRONICS Jet Premium Gaming Headphone with LED Light for earcups, 40mm Neodymium Drivers, 2 Meter Braided Cable, Flexible mic, Suspension Headband, 3.5mm + USB Connector & in-line Controller",849.0,gaming headset,amazon
33,"HyperX Cloud Core  On-Ear Wired Gaming Headset with Mic for PC, DTS Headpone:X (Black)",5790.0,gaming headset,amazon
